Census Tract,Community,Total Count
1,San Diego,0
2.01,San Diego,1
2.02,San Diego,4
3,San Diego,16.03
4,San Diego,27.03
5,San Diego,4.03
6,San Diego,53.09
7,San Diego,8.03
8,San Diego,0
9,San Diego,0
10,San Diego,6
11,San Diego,1
12,San Diego,6.03
13,San Diego,24.5
14,San Diego,12.75
15,San Diego,5
16,San Diego,17.06
17,San Diego,0
18,San Diego,5
19,San Diego,0
20.01,San Diego,0
20.02,San Diego,0
21,San Diego,0
22.01,San Diego,13.84
22.02,San Diego,33.56
23.01,San Diego,1
23.02,San Diego,41.31
24.01,San Diego,10.06
24.02,San Diego,7
25.01,San Diego,11
25.02,San Diego,31.5
26.01,San Diego,25.56
26.02,San Diego,10.03
27.02,San Diego,6.06
27.03,San Diego,13.15
27.05,San Diego,25.06
27.07,San Diego,3.75
27.08,San Diego,4.5
27.09,San Diego,1
27.1,San Diego,1
27.11,San Diego,2.03
27.12,San Diego,3
28.01,San Diego,1.75
28.03,San Diego,0
28.04,San Diego,3
29.02,San Diego,7.03
29.03,San Diego,1
29.04,San Diego,4
29.05,San Diego,3.75
30.01,San Diego,0
30.03,San Diego,1
30.04,San Diego,0
31.01,San Diego,0
31.03,San Diego,3.75
31.05,San Diego,2.75
31.07,San Diego,8.53
31.08,San Diego,0
31.09,San Diego,0
31.11,San Diego,0
31.12,San Diego,0
31.13,San Diego,0
31.14,San Diego,0
31.15,San Diego,12.15
32.01,San Diego,2.03
32.02,San Diego,5.25
32.04,National City,70.25
32.07,Sweetwater,4
32.08,San Diego,0
32.09,San Diego,0
32.11,San Diego,0
32.12,San Diego,0
32.13,San Diego,1
32.14,Spring Valley,0
33.01,San Diego,2
33.03,San Diego,7
33.04,San Diego,3
33.05,San Diego,9.75
34.01,San Diego,35.31
34.03,San Diego,6.03
34.04,San Diego,1
35.01,San Diego,6.81
35.02,San Diego,2
36.01,San Diego,11.09
36.02,San Diego,0
36.03,San Diego,3.03
38,San Diego,0
39.01,San Diego,2
39.02,San Diego,2.03
40,San Diego,1
41,San Diego,25.84
42,San Diego,0
43,San Diego,1
44,San Diego,7.03
45.01,San Diego,5.06
46,San Diego,38.65
47,San Diego,30.28
48,San Diego,6.53
49,San Diego,19.5
50,San Diego,50.83
51,San Diego,434.65
52,San Diego,158.37
53,San Diego,194.75
54,San Diego,123.75
55,San Diego,0
56,San Diego,68.78
57,San Diego,22.5
58,San Diego,45.53
59,San Diego,15.75
60,San Diego,7
61,San Diego,0
62,San Diego,2.03
63,San Diego,6.03
65,San Diego,0
66,San Diego,8
68.01,San Diego,0
68.02,San Diego,7.06
69,San Diego,0
70.02,San Diego,0
71,San Diego,4.03
72,San Diego,18.27
73.01,San Diego,5
73.02,San Diego,0
74,San Diego,37.51
75.01,San Diego,0
75.02,San Diego,40.3
76,San Diego,28.62
77.01,San Diego,4
77.02,San Diego,9.12
78,San Diego,2
79.03,San Diego,12.09
79.05,San Diego,33.27
79.08,San Diego,10.03
79.07,San Diego,5
79.1,San Diego,13
80.02,San Diego,0
80.03,San Diego,2
80.06,San Diego,0
81.01,San Diego,2.03
81.02,San Diego,0
82,San Diego,3
83.01,San Diego,4.06
83.03,San Diego,0
83.05,San Diego,15.21
83.06,San Diego,0
83.07,San Diego,8.09
83.1,San Diego,0
83.11,San Diego,0
83.12,San Diego,1
83.13,San Diego,0
83.24,San Diego,3.78
83.27,Encinitas,1.75
83.28,Encinitas,4.06
83.29,Encinitas,4.06
83.3,Encinitas,0
83.31,Encinitas,0
83.33,San Diego,0
83.35,San Diego,0
83.36,San Diego,0
83.37,San Diego,0
83.39,San Diego,1
83.4,San Diego,0
83.41,San Diego,0
83.43,San Diego,3.03
83.44,San Diego,0
83.45,San Diego,0
83.46,San Diego,0
83.47,San Diego,0
83.48,San Diego,2.03
83.49,San Diego,2
83.5,San Diego,6.09
83.51,San Diego,0
83.52,San Diego,1
83.53,San Diego,0
83.54,San Diego,0
83.55,San Diego,9.06
83.56,San Diego,2.03
83.57,San Diego,4.03
83.58,San Diego,6.09
83.59,San Diego,2.03
83.6,San Diego,4.06
83.61,San Diego,4.06
83.62,San Diego,2.03
83.63,San Diego,4.06
83.64,San Diego,0
83.65,San Diego,0
83.66,San Diego,0
85.01,San Diego,0
85.02,San Diego,0
85.03,San Diego,17.28
85.04,San Diego,0
85.05,San Diego,0
85.06,San Diego,8.12
85.07,San Diego,1
85.09,San Diego,0
85.1,San Diego,0
85.11,San Diego,23.96
85.12,San Diego,0
85.13,San Diego,1
86,San Diego,3
87.01,San Diego,3
87.02,San Diego,13.12
88,San Diego,3
89.01,San Diego,4
89.02,San Diego,33.25
90,San Diego,0
91.01,San Diego,20.3
91.02,San Diego,2
91.03,San Diego,0
91.04,San Diego,2.03
91.06,San Diego,5
91.07,San Diego,4
92.01,San Diego,0
92.02,San Diego,2.03
93.01,San Diego,1
93.04,San Diego,48
93.05,San Diego,5
93.06,San Diego,11.87
94,San Diego,2.03
95.02,San Diego,0
95.04,San Diego,0
95.05,San Diego,0
95.06,San Diego,0
95.07,San Diego,2.03
95.09,San Diego,3.75
95.1,San Diego,3.03
95.11,San Diego,0
96.02,San Diego,5.03
96.03,San Diego,27.75
96.04,San Diego,1
97.03,San Diego,0
97.04,San Diego,2.03
97.05,San Diego,0
97.06,San Diego,0
98.01,San Diego,0
98.02,San Diego,1
98.04,San Diego,1
98.05,San Diego,0
99.01,San Diego,0
99.02,San Diego,0
100.01,San Diego,5.75
100.03,San Diego,4
100.04,San Diego,0
100.05,San Diego,20.43
100.09,San Diego,1
100.1,San Diego,0
100.11,San Diego,0
100.12,San Diego,2.03
100.13,San Diego,0
100.14,San Diego,6.09
100.15,San Diego,2.03
101.03,San Diego,48.37
101.04,San Diego,0
101.06,San Diego,2.03
101.07,San Diego,55.62
101.09,San Diego,5.53
101.1,San Diego,2
101.11,San Diego,2
101.12,San Diego,7.06
102,Imperial Beach,0
103,Imperial Beach,10.12
104.01,Imperial Beach,1.75
104.02,Imperial Beach,0
105.01,Imperial Beach,8.78
105.02,Imperial Beach,0
106.01,Coronado,0
108,Coronado,0
109,Coronado,0
110,Coronado,6.09
111,Coronado,0
113,Coronado,0
116.01,National City,4.75
116.02,National City,19.99
117,National City,30.78
118.01,National City,3
118.02,National City,2
119.02,National City,3.03
120.02,National City,8.78
120.03,National City,0
121.01,National City,5
121.02,National City,10.15
122,National City,3.03
123.02,Chula Vista,4
123.03,Chula Vista,0
123.04,Chula Vista,0
124.01,Chula Vista,21.09
124.02,Chula Vista,23.93
125.01,Chula Vista,4
125.02,Chula Vista,10.53
126,Chula Vista,6.06
127,Chula Vista,9
128,Chula Vista,1
129,Chula Vista,1
130,Chula Vista,2.03
131.02,Chula Vista,3.03
131.03,Chula Vista,31.87
131.04,Chula Vista,2.03
132.03,Chula Vista,2
132.04,Chula Vista,10.06
132.05,Chula Vista,13.31
132.06,Chula Vista,8.06
133.01,Chula Vista,0
132.02,Chula Vista,0
133.03,Chula Vista,5.03
133.06,Chula Vista,0
133.07,Chula Vista,0
133.08,Chula Vista,28.03
133.09,Chula Vista,0
133.1,Chula Vista,11.9
133.11,Chula Vista,0
133.12,Chula Vista,6.09
133.13,Chula Vista,0
133.14,Chula Vista,2.03
134.01,Chula Vista,2
134.09,Chula Vista,4.5
134.1,Chula Vista,2.03
134.11,Chula Vista,7.09
134.12,Chula Vista,0
134.14,Chula Vista,6.06
134.15,Chula Vista,0
134.16,Chula Vista,0
134.17,Chula Vista,0
134.18,Chula Vista,2.03
134.19,Chula Vista,2.03
134.2,Chula Vista,0
134.21,Chula Vista,0
135.03,Spring Valley,27.21
135.04,Spring Valley,0
135.05,Spring Valley,7.06
135.06,Valle de Oro,2.03
136.01,Valle de Oro,8.81
136.04,Valle de Oro,3.03
136.05,Valle de Oro,0
136.06,Valle de Oro,2
137.01,Valle de Oro,11.25
137.02,Spring Valley,10.56
138.01,Spring Valley,16.62
138.02,Spring Valley,8.5
139.03,Spring Valley,13.31
139.05,Spring Valley,14.12
139.06,Spring Valley,5
139.07,Spring Valley,8.12
139.08,Spring Valley,15.12
139.09,Spring Valley,8
140.01,Lemon Grove,3
140.02,Lemon Grove,5.25
141.01,Lemon Grove,0
141.02,San Diego,3.03
142,Lemon Grove,3.03
143,Lemon Grove,0
144,Lemon Grove,40.51
145,La Mesa,0
146.01,La Mesa,7.03
146.02,La Mesa,1
147,La Mesa,1
148.03,La Mesa,0
148.04,La Mesa,0
148.05,La Mesa,1
148.06,La Mesa,2
149.01,La Mesa,0
149.02,La Mesa,0
150,La Mesa,0
151,La Mesa,0
152,Valle de Oro,0
153.01,El Cajon,4
153.02,El Cajon,20.06
154.03,Valle de Oro,1
154.04,Valle de Oro,3
154.05,Valle de Oro,7
154.06,Valle de Oro,0
155.01,Crest-Dehesa,0
155.02,Crest-Dehesa,0
156.01,El Cajon,6
156.02,El Cajon,2
157.01,El Cajon,31.78
157.03,El Cajon,7.75
157.04,El Cajon,17.03
158.01,El Cajon,21.25
158.02,El Cajon,38.37
159.01,El Cajon,20
159.02,El Cajon,7.78
160,El Cajon,30.12
161,El Cajon,0
162.01,El Cajon,4.03
162.02,El Cajon,35.75
163.01,El Cajon,14.56
163.02,El Cajon,24.4
164.01,El Cajon,2.75
164.02,El Cajon,0
165.02,Lakeside,16
165.03,Lakeside,0
165.04,Lakeside,7
166.05,Santee,0
166.06,Santee,18.75
166.07,Santee,1
166.08,Santee,0
166.09,Santee,0
166.1,Santee,0
166.12,Santee,0
166.13,Santee,1
166.14,Santee,8.75
166.15,Santee,10.75
166.16,Santee,4.03
166.17,Santee,2
167.01,Lakeside,5.75
167.02,Lakeside,4
168.02,Lakeside,1.75
168.04,Lakeside,22.09
168.06,Lakeside,1
168.07,Lakeside,1
168.09,Lakeside,3.03
168.1,Lakeside,0
168.11,Lakeside,0
169.01,Lakeside,4
169.02,Lakeside,8.12
170.06,Poway,0
170.09,Poway,0
170.1,Poway,0
170.14,San Diego,0
170.15,San Diego,1
170.18,San Diego,0
170.19,San Diego,0
170.2,Poway,0
170.21,Poway,0
170.22,San Diego,0
170.29,San Deiguito,0
170.3,San Deiguito,0
170.31,San Diego,0
170.32,San Deiguito,0
170.33,San Diego,0
170.34,San Diego,0
170.35,San Diego,0
170.36,San Diego,0
170.37,San Diego,0
170.39,San Diego,2.03
170.4,Poway,9.09
170.41,Poway,0
170.42,San Diego,3
170.43,San Diego,4.06
170.44,San Diego,0
170.45,San Diego,0
170.46,San Diego,0
170.47,San Diego,0
170.48,Poway,3.03
170.49,Poway,0
170.5,Poway,3.03
170.51,San Diego,0
170.52,San Diego,0
170.53,Poway,0
170.54,Poway,0
170.55,San Diego,0
170.56,San Diego,0
171.04,Encinitas,0
171.06,San Deiguito,2.03
171.07,Encinitas,0
171.08,Encinitas,0
171.09,Carlsbad,2.03
171.1,Carlsbad,0
172,Del Mar,3.03
173.03,Solana Beach,0
173.04,Solana Beach,0
173.05,Solana Beach,0
173.06,Solana Beach,0
174.01,Encinitas,13.18
174.03,Encinitas,5.03
174.04,Encinitas,0
175.01,Encinitas,27.27
175.02,Encinitas,6.75
176.01,Encinitas,14.28
176.03,Encinitas,1
176.04,Encinitas,4.06
177.01,Encinitas,2
177.02,Encinitas,12.18
178.01,Carlsbad,26.49
178.08,Carlsbad,0
178.09,Carlsbad,0
178.1,Carlsbad,0
178.11,Carlsbad,2
178.13,Carlsbad,16.96
179,Carlsbad,46.18
180,Carlsbad,17.56
181,Oceanside,2
182,Oceanside,1
183,Oceanside,5
184,Oceanside,11
185.04,Oceanside,87.65
185.07,Oceanside,5
185.09,Oceanside,18.5
185.1,Oceanside,2
185.11,Oceanside,3
185.12,Oceanside,12.81
185.13,Oceanside,0
185.14,Oceanside,3.03
185.15,Oceanside,16.75
185.16,Oceanside,10.87
185.17,Oceanside,0
185.18,Oceanside,6.03
185.19,Oceanside,0
186.01,Oceanside,2
186.03,Oceanside,104.25
186.08,Oceanside,0
186.09,Oceanside,3.03
186.1,Oceanside,4.06
186.11,Oceanside,0
186.12,Oceanside,8.75
186.13,Oceanside,2
186.14,Oceanside,2.03
187,Pendleton/De Luz,0
188.01,Fallbrook,0
188.02,Bonsall,0
188.03,Bonsall,0
189.03,Fallbrook,2.03
189.04,Fallbrook,10.03
189.05,Fallbrook,11.06
189.06,Fallbrook,2.03
190.01,Pendleton/De Luz,0
190.02,Rainbow,0
191.01,Pala-Pauma,0
191.03,Valley Center,0
191.05,Hidden Meadow,0
191.06,Valley Center,0
191.07,Pala-Pauma,0
192.03,Bonsall,0
192.05,Vista,9.59
192.06,Vista,8.56
192.07,Bonsall,20.27
192.08,San Marcos,4.06
193.01,Oceanside,0
193.02,Oceanside,2
193.03,Oceanside,0
194.03,Oceanside,9.81
194.04,Vista,0
194.05,Vista,6.25
194.06,Vista,5.25
195.01,Vista,13.59
195.02,Vista,0
195.03,Vista,23.9
196.01,Vista,12.06
196.02,Vista,2
197.01,Vista,16.78
197.02,Vista,24.59
198.03,Oceanside,27.31
198.04,Carlsbad,0
198.05,Vista,3.75
198.06,Carlsbad,10.15
198.08,Oceanside,0
198.09,Oceanside,0
199.02,NC Metro,9.12
199.03,NC Metro,11.34
199.04,Vista,7.78
199.05,Vista,2
200.13,Carlsbad,2.03
200.14,Carlsbad,0
200.15,Carlsbad,0
200.16,Carlsbad,0
200.17,Vista,17.12
200.18,San Marcos,5.03
200.19,San Marcos,5.06
200.2,San Marcos,6.06
200.21,San Marcos,0
200.22,San Marcos,0
200.23,San Marcos,5.03
200.24,San Marcos,0
200.25,San Marcos,8.12
200.26,San Marcos,13.93
200.27,San Marcos,0
200.28,San Marcos,8.12
200.29,San Marcos,6
201.03,Escondido,0
201.05,Escondido,4.03
201.06,Escondido,0
201.07,Escondido,0
201.08,Escondido,9.75
201.09,Escondido,7.09
202.02,Escondido,4
202.06,Escondido,13.81
202.07,Escondido,13.81
202.08,Escondido,2
202.09,Escondido,6.03
202.1,Escondido,5
202.11,Escondido,8.06
202.13,Escondido,6.03
202.14,Escondido,71.03
203.04,Escondido,8.12
203.05,Escondido,0
203.06,San Marcos,0
203.07,Escondido,30.81
203.08,Escondido,8.75
203.09,Escondido,27
204.01,San Deiguito,0
204.03,Escondido,0
204.04,Escondido,5
204.05,Escondido,0
205,Escondido,1
206.01,Escondido,19.12
206.02,Escondido,8.03
207.05,NC Metro,5
207.06,Escondido,0
207.07,Escondido,1
207.08,Escondido,3.03
207.09,NC Metro,0
207.1,San Diego,0
208.01,Ramona,0
208.05,Ramona,16.56
208.06,Ramona,77.78
208.07,Ramona,0
208.09,Ramona,0
208.1,Ramona,3.03
208.11,Ramona,0
209.02,Cuyamaca,0
209.03,Palomar Mountain,0
209.04,Julian,0
210,Boreggo Springs,0
211,Potrero,0
212.02,Descanso,0
212.04,Crest-Dehesa,8.12
212.05,Alpine,15.75
212.06,Alpine,0
213.02,Alpine,0
213.03,Jamul/Dulzura,0
213.04,Jamul/Dulzura,0
214,San Diego,6
215,San Diego,0
216,Coronado,0
218,Coronado,0
219,National City,37.11
220,National City,3
221,Carlsbad,5.06
